V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,default,implementation,commitment,loss_aversion,social_norms,counter1,counter2,default_trial,implementation_trial,commitment_trial,loss_aversion_trial,social_norms_trial,Q3,Q56,Q11,Q12,Q13,Q14,Q15,Q17,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,Q206,Q207,Q208,Q209,Q210,Q211,p2_1,p2_2,p2_3,p2_4,p2_5,p2_6,p2_time_1,p2_time_2,p2_time_3,p2_time_4,Q227,Q228,Q229,Q230,Q231,Q232,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_time_1,p3_time_2,p3_time_3,p3_time_4,Q213,Q214,Q215,Q216,Q217,Q218,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_time_1,p4_time_2,p4_time_3,p4_time_4,Q220,Q221,Q222,Q223,Q224,Q225,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_time_1,p5_time_2,p5_time_3,p5_time_4,Q70,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,attitude3,attitude4,libert_1,libert_2,libert_3,libert_4,libert_5,libert_6,gender,age_1,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,default,implementation,commitment,loss_aversion,social_norms,counter1,counter2,default_trial,implementation_trial,commitment_trial,loss_aversion_trial,social_norms_trial,Individual Decision Making Study /  / This consent form asks you to take part in a research study at / UCLA. You must be at least 18 years old to participate. / This research study is designed to examine h...,For this study you will read and respond to five policy proposals. / This is a study should take about ten minutes to complete. We ask / that you please pay attention and read all materials before / resp...,Policy Proposal ${e://Field/counter1}: Default /  Options /  Researchers have suggested that one useful approach to public /  policy is to strategically select default options. The basic idea /  is that mo...,"For example, people may generally wish to engage in a certain type / of behavior, but normally fail to act. Knowing this, policymakers / could set “automatic enrollment” as the default and allow people...","For example, some low-income individuals may wish to participate in / food stamp assistance programs they are legally eligible for, but / normally fail to claim such benefits. Knowing this, policymaker...","For example, some high-income individuals may wish to take / advantage of capital gains tax breaks they are legally eligible / for, but normally fail to claim such benefits. Knowing this, / policymakers...","For example, some parents may wish for their high-school aged / children to learn about safe sex practices and effective / contraceptive use, but normally fail to enroll their children into / such educat...","For example, some parents may wish for their high-school aged / children to learn about the idea of “intelligent design” as an / alternative to biological evolution, but normally fail to enroll / their c...","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, how do you feel about actively setting default / options a...-How much do you <u>support</u> this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, how do you feel about actively setting default / options a...-How much do you <u>oppose</u> this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, how do you feel about actively setting default / options a...-How <u>ethical</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, how do you feel about actively setting default / options a...-How <u>manipulative</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, how do you feel about actively setting default / options a...-How <u>unethical</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, how do you feel about actively setting default / options a...-How <u>coercive</u> is this approach to policy?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Policy Proposal ${e://Field/counter1}: Planning / Prompts / Researchers have suggested that one useful approach to crafting / policy is to get individuals to form concrete, specific plans for / acting. The...","For example, people may generally wish to engage in a certain type / of behavior, but normally fail to act. Knowing this, policymakers / could prompt these individuals to schedule a specific date and t...","For example, some low-income individuals may wish to participate in / food stamp assistance programs they are legally eligible for, but / normally fail to claim such benefits. Knowing this, policymaker...","For example, some high-income individuals may wish to take / advantage of capital gains tax breaks they are legally eligible / for, but normally fail to claim such benefits. Knowing this, / policymakers...","For example, some parents may wish for their high-school aged / children to learn about safe sex practices and effective / contraceptive use, but normally fail to enroll their children into / such educat...","For example, some parents may wish for their high-school aged / children to learn about the idea of “intelligent design” as an / alternative to biological evolution, but normally fail to enroll / their c...","This approach of prompting people to form concrete, specific plans / can be used across a wide range of policies. Putting this / particular example aside, how do you feel about actively prompting / peopl...-How much do you <u>support</u> this approach to policy?","This approach of prompting people to form concrete, specific plans / can be used across a wide range of policies. Putting this / particular example aside, how do you feel about actively prompting / peopl...-How much do you <u>oppose</u> this approach to policy?","This approach of prompting people to form concrete, specific plans / can be used across a wide range of policies. Putting this / particular example aside, how do you feel about actively prompting / peopl...-How <u>ethical</u> is this approach to policy?","This approach of prompting people to form concrete, specific plans / can be used across a wide range of policies. Putting this / particular example aside, how do you feel about actively prompting / peopl...-How <u>manipulative</u> is this approach to policy?","This approach of prompting people to form concrete, specific plans / can be used across a wide range of policies. Putting this / particular example aside, how do you feel about actively prompting / peopl...-How <u>unethical</u> is this approach to policy?","This approach of prompting people to form concrete, specific plans / can be used across a wide range of policies. Putting this / particular example aside, how do you feel about actively prompting / peopl...-How <u>coercive</u> is this approach to policy?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Policy Proposal ${e://Field/counter1}: Public / Commitments / Researchers have suggested that one useful approach to crafting / policy is to get individuals to publicly commit to a behavior. The / basic id...,"For example, people may generally wish to engage in a certain type / of behavior, but normally fail to act. Knowing this, policymakers / could ask these individuals to publicly pledge to engage in that...","For example, some low-income individuals may wish to participate in / food stamp assistance programs they are legally eligible for, but / normally fail to claim such benefits. Knowing this, policymaker...","For example, some high-income individuals may wish to take / advantage of capital gains tax breaks they are legally eligible / for, but normally fail to claim such benefits. Knowing this, / policymakers...","For example, some parents may wish for their high-school aged / children to learn about safe sex practices and effective / contraceptive use, but normally fail to enroll their children into / such educat...","For example, some parents may wish for their high-school aged / children to learn about the idea of “intelligent design” as an / alternative to biological evolution, but normally fail to enroll / their c...","This approach of prompting individuals to publicly commit to a / behavior can be used across a wide range of policies. Putting this / particular example aside, how do you feel about prompting / individua...-How much do you <u>support</u> this approach to policy?","This approach of prompting individuals to publicly commit to a / behavior can be used across a wide range of policies. Putting this / particular example aside, how do you feel about prompting / individua...-How much do you <u>oppose</u> this approach to policy?","This approach of prompting individuals to publicly commit to a / behavior can be used across a wide range of policies. Putting this / particular example aside, how do you feel about prompting / individua...-How <u>ethical</u> is this approach to policy?","This approach of prompting individuals to publicly commit to a / behavior can be used across a wide range of policies. Putting this / particular example aside, how do you feel about prompting / individua...-How <u>manipulative</u> is this approach to policy?","This approach of prompting individuals to publicly commit to a / behavior can be used across a wide range of policies. Putting this / particular example aside, how do you feel about prompting / individua...-How <u>unethical</u> is this approach to policy?","This approach of prompting individuals to publicly commit to a / behavior can be used across a wide range of policies. Putting this / particular example aside, how do you feel about prompting / individua...-How <u>coercive</u> is this approach to policy?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Policy Proposal ${e://Field/counter1}: Highlighting / Losses / Researchers have suggested that one useful approach to crafting / policy is to strategically highlight the potential costs or losses / associa...,"For example, people may generally wish to engage in a certain type / of behavior, but normally fail to act. Knowing this, policymakers / could describe the disadvantages of failing to act on that / behav...","For example, some low-income individuals may wish to participate in / food stamp assistance programs they are legally eligible for, but / normally fail to claim such benefits. Knowing this, policymaker...","For example, some high-income individuals may wish to take / advantage of capital gains tax breaks they are legally eligible / for, but normally fail to claim such benefits. Knowing this, / policymakers...","For example, some parents may wish for their high-school aged / children to learn about safe sex practices and effective / contraceptive use, but normally fail to enroll their children into / such educat...","For example, some parents may wish for their high-school aged / children to learn about the idea of “intelligent design” as an / alternative to biological evolution, but normally fail to enroll / their c...","This approach of strategically highlighting the costs or / disadvantages with certain behaviors can be used across a wide / range of policies. Putting this particular example aside, how do / you feel abo...-How much do you <u>support</u> this approach to policy?","This approach of strategically highlighting the costs or / disadvantages with certain behaviors can be used across a wide / range of policies. Putting this particular example aside, how do / you feel abo...-How much do you <u>oppose</u> this approach to policy?","This approach of strategically highlighting the costs or / disadvantages with certain behaviors can be used across a wide / range of policies. Putting this particular example aside, how do / you feel abo...-How <u>ethical</u> is this approach to policy?","This approach of strategically highlighting the costs or / disadvantages with certain behaviors can be used across a wide / range of policies. Putting this particular example aside, how do / you feel abo...-How <u>manipulative</u> is this approach to policy?","This approach of strategically highlighting the costs or / disadvantages with certain behaviors can be used across a wide / range of policies. Putting this particular example aside, how do / you feel abo...-How <u>unethical</u> is this approach to policy?","This approach of strategically highlighting the costs or / disadvantages with certain behaviors can be used across a wide / range of policies. Putting this particular example aside, how do / you feel abo...-How <u>coercive</u> is this approach to policy?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,Policy Proposal ${e://Field/counter1}: Popularity / Information / Researchers have suggested that one useful approach to crafting / policy is to provide individuals with information about how other / indiv...,"For example, people may generally wish to engage in a certain type / of behavior, but normally fail to act. Knowing this, policymakers / could provide them with information about the number of people w...","For example, some low-income individuals may wish to participate in / food stamp assistance programs they are legally eligible for, but / normally fail to claim such benefits. Knowing this, policymaker...","For example, some high-income individuals may wish to take / advantage of capital gains tax breaks they are legally eligible / for, but normally fail to claim such benefits. Knowing this, / policymakers...","For example, some parents may wish for their high-school aged / children to learn about safe sex practices and effective / contraceptive use, but normally fail to enroll their children into / such educat...","For example, some parents may wish for their high-school aged / children to learn about the idea of “intelligent design” as an / alternative to biological evolution, but normally fail to enroll / their c...","This approach of providing people with information about popular / behaviors can be used across a wide range of policies. Putting this / particular example aside, how do you feel about providing people...-How much do you <u>support</u> this approach to policy?","This approach of providing people with information about popular / behaviors can be used across a wide range of policies. Putting this / particular example aside, how do you feel about providing people...-How much do you <u>oppose</u> this approach to policy?","This approach of providing people with information about popular / behaviors can be used across a wide range of policies. Putting this / particular example aside, how do you feel about providing people...-How <u>ethical</u> is this approach to policy?","This approach of providing people with information about popular / behaviors can be used across a wide range of policies. Putting this / particular example aside, how do you feel about providing people...-How <u>manipulative</u> is this approach to policy?","This approach of providing people with information about popular / behaviors can be used across a wide range of policies. Putting this / particular example aside, how do you feel about providing people...-How <u>unethical</u> is this approach to policy?","This approach of providing people with information about popular / behaviors can be used across a wide range of policies. Putting this / particular example aside, how do you feel about providing people...-How <u>coercive</u> is this approach to policy?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Almost done. After providing some basic demographic information, / the study will be complete. /  ","Do you identify primarily as Republican, Democrat, or neither?","When it comes to social issues, I am ... /   ", -<em>Click here instead if you are completely unsure</em>, -<em>Click here instead if you haven't given it much thought</em>,"When it comes to economic issues, I am ... /   ", -<em>Click here instead if you are completely unsure</em>, -<em>Click here instead if you haven't given it much thought</em>,How do you feel about promoting food stamp programs for low-income / individuals?,How do you feel about promoting tax breaks for high-income / individuals?,How do you feel about promoting high school educational programs on / safe sex and effective contraceptive use?,"How do you feel about promoting high school educational programs /  on ""intelligent design""?",People in our society often disagree about how far to let / individuals go in making decisions for themselves. How strongly you / agree or disagree with each of these statements? /  -The government interferes far too much in our everyday lives.,People in our society often disagree about how far to let / individuals go in making decisions for themselves. How strongly you / agree or disagree with each of these statements? /  -Sometimes government needs to make laws that keep people from hurting themselves.,People in our society often disagree about how far to let / individuals go in making decisions for themselves. How strongly you / agree or disagree with each of these statements? /  -It's not the government's business to try to protect people from themselves.,People in our society often disagree about how far to let / individuals go in making decisions for themselves. How strongly you / agree or disagree with each of these statements? /  -The government should stop telling people how to live their lives.,"People in our society often disagree about how far to let / individuals go in making decisions for themselves. How strongly you / agree or disagree with each of these statements? /  -The government should do more to advance society's goals, even if that means limiting the freedom and choices of individuals.",People in our society often disagree about how far to let / individuals go in making decisions for themselves. How strongly you / agree or disagree with each of these statements? /  -Government should put limits on the choices individuals can make so they don't get in the way of what's good for society.,Please indicate your gender: /   ,How old are you?-years old,"Finally, any questions, comments, or suggestions for this / study?",LocationLatitude,LocationLongitude,LocationAccuracy,
R_6wXnDXduoXuhgNv,Default Response Set,Anonymous,,,71.83.251.215,0,2014-05-17 08:16:14,2014-05-17 08:22:02,1,food stamps,control,tax breaks,safe sex,intelligent design,6,6,2,1,5,4,3,1,1,1,,1,,,,5,4,5,2,4,5,48.205,60.57199999999999,61.227,8,1,1,,,,,2,3,3,4,4,3,31.603,48.12199999999999,49.035,6,1,,,1,,,3,2,3,3,2,3,13.4,37.982,38.725,7,1,,,,1,,1,4,2,5,5,2,13.607,45.82899999999999,46.445,7,1,,,,,1,3,2,3,4,3,4,17.393,32.872,34.759,6,1,3,2,,,6,,,6,2,6,4,7,1,1,7,1,1,1,29,Thanks,43.217895507812,-123.40209960938,-1,
R_3CPsquzMRFDVqFn,Default Response Set,Anonymous,,,24.8.91.236,0,2014-05-17 08:20:48,2014-05-17 08:24:44,1,control,food stamps,tax breaks,safe sex,intelligent design,6,6,1,3,2,4,5,1,1,1,1,,,,,4,2,4,2,2,2,19.583,28.957,30.02,6,1,,1,,,,2,4,2,4,4,4,26.118,31.573,32.379,6,1,,,1,,,3,3,3,3,3,3,10.397,13.793,16.331,6,1,,,,1,,1,5,1,4,4,4,13.721,20.494,21.841,8,1,,,,,1,4,2,3,3,3,3,16.41,24.369999999999994,26.054,8,1,3,4,,,5,,,3,7,6,5,7,5,1,7,1,1,1,31,,39.935501098633,-105.04730224609,-1,
R_6W0jmrqsYRNV7uJ,Default Response Set,Anonymous,,,98.226.134.192,0,2014-05-17 08:20:58,2014-05-17 08:25:12,1,control,intelligent design,food stamps,tax breaks,safe sex,6,6,1,3,2,4,5,1,1,1,1,,,,,4,3,3,4,4,3,12.689,16.297,17.348,6,1,,,,,1,3,4,4,3,3,4,2.026,4.874,5.777,6,1,,1,,,,3,4,4,3,3,4,77.023,82.831,83.881,6,1,,,1,,,4,3,3,4,4,4,2.181,4.7490000000000006,5.536,6,1,,,,1,,3,3,4,4,3,3,22.671,25.878999999999998,26.841,6,1,3,5,,,6,,,6,5,2,6,5,6,5,6,5,5,1,49,,41.717895507812,-85.966400146484,-1,
R_0P7n2jnhPjUgZ5H,Default Response Set,Anonymous,,,74.109.252.122,0,2014-05-17 08:22:00,2014-05-17 08:25:28,1,intelligent design,control,safe sex,tax breaks,food stamps,6,6,2,1,4,5,3,1,1,1,,,,,1,3,2,3,4,3,4,14.072,19.798,20.436,6,1,1,,,,,3,3,3,3,2,4,16.804,24.886,26.547,7,1,,,,1,,3,3,3,3,3,4,12.099,16.211000000000002,17.005,7,1,,,1,,,4,2,3,3,2,4,16.494,24.014000000000003,24.938,9,1,,1,,,,4,2,3,3,2,4,11.814,16.426,17.056,6,1,2,2,,1,3,,1,7,2,7,4,2,4,4,4,2,2,2,24,Thanks,40.459594726562,-79.835800170898,-1,
R_7UuonFq6CFrl7Qp,Default Response Set,Anonymous,,,96.25.191.155,0,2014-05-17 08:20:28,2014-05-17 08:25:58,1,food stamps,control,tax breaks,intelligent design,safe sex,6,6,3,4,1,5,2,1,1,1,,1,,,,1,3,4,3,5,4,4.043,12.591,16.131,6,1,1,,,,,5,3,4,3,2,3,5.355,16.632,18.356,8,1,,,1,,,1,2,3,,4,3,7.429,27.965,29.807,6,1,,,,,1,1,3,3,4,4,4,4.392,9.682,10.982,6,1,,,,1,,5,3,4,3,2,3,7.836,17.548000000000002,19.479,9,1,2,,,1,,1,,7,1,5,4,3,3,4,4,3,5,2,19,,34.001693725586,-84.471000671387,-1,
R_eez5FKGSFDgsXQN,Default Response Set,Anonymous,,,67.197.233.237,0,2014-05-17 08:23:07,2014-05-17 08:26:23,1,safe sex,intelligent design,tax breaks,food stamps,control,6,6,2,4,5,1,3,1,1,1,,,,1,,4,3,3,4,2,3,35.919,46.696000000000005,47.057,7,1,,,,,1,4,3,3,2,2,2,9.897,14.618,15.365,6,1,,,1,,,4,3,3,2,2,2,5.573,9.854,10.67,6,1,,1,,,,3,3,4,4,4,4,18.756,28.541,29.695,10,1,1,,,,,4,3,3,3,2,2,13.709,20.349,21.215,6,1,3,4,,,4,,,5,2,5,5,6,5,3,3,5,3,2,33,no,35.074005126953,-81.212898254395,-1,
R_9B8oCIT4lQR0fsx,Default Response Set,Anonymous,,,24.60.142.253,0,2014-05-17 08:23:42,2014-05-17 08:26:48,1,food stamps,control,intelligent design,tax breaks,safe sex,6,6,1,4,2,5,3,1,1,1,,1,,,,5,1,5,2,1,1,14.514,19.799,21.517,6,1,1,,,,,1,3,3,1,1,1,6.647,10.989,15.595,8,1,,,,,1,3,3,3,1,1,1,13.872,19.405999999999995,19.791,8,1,,,1,,,5,2,3,1,1,1,4.677,17.209999999999997,18.242,8,1,,,,1,,3,2,4,1,1,1,5.934,9.393,10.436,9,1,1,5,,,5,,,7,3,7,2,4,4,4,4,5,4,1,29,its snap not food stamps,42.634201049805,-72.602600097656,-1,
R_9QZkaYAVedweYCx,Default Response Set,Anonymous,,,174.108.62.61,0,2014-05-17 08:23:25,2014-05-17 08:27:16,1,food stamps,control,safe sex,tax breaks,intelligent design,6,6,1,3,2,4,5,1,1,1,,1,,,,1,4,2,4,4,4,31.283,37.017,38.046,6,1,1,,,,,4,2,2,3,2,3,28.374,37.00499999999999,38.061,7,1,,,,1,,2,3,2,4,2,4,23.44,30.135000000000005,31.588,6,1,,,1,,,4,1,3,2,2,2,16.011,22.712,24.34,7,1,,,,,1,1,5,1,2,4,2,13.476,20.294999999999998,21.274,6,1,2,2,,,2,,,5,5,7,1,3,5,3,3,3,5,1,35,,35.362503051758,-81.574096679688,-1,
R_3E0ncNBmkntW1gN,Default Response Set,Anonymous,,,208.104.234.107,0,2014-05-17 08:23:26,2014-05-17 08:27:41,1,tax breaks,food stamps,intelligent design,control,safe sex,6,6,4,1,5,2,3,1,1,1,,,1,,,3,3,3,3,3,3,33.75,39.301,40.486,6,1,,1,,,,3,3,3,4,3,4,50.516,60.372,61.582,6,1,,,,,1,2,4,2,4,4,4,16.165,24.477,25.174,6,1,1,,,,,4,2,4,3,2,3,25.767,33.846000000000004,34.628,6,1,,,,1,,4,2,4,2,2,2,16.081,21.721999999999998,22.407,6,1,1,7,,,7,,,1,4,6,4,4,7,7,7,1,1,1,50,,34.888900756836,-81.023696899414,-1,
