V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,cond,objective,Q3,Q73,Q11,Q13,Q14,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_time_1,p1_time_2,p1_time_3,p1_time_4,polparty,posoc,dk1_1,dk1_2,poecon,dk2_1,dk2_2,attitude1,attitude2,gender,age_1,puboffice,Q64,pubemploy,authority,comments,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,cond,objective,Individual Decision Making Study /  / This consent form asks you to take part in a research study / conducted by researchers at Harvard and UCLA. You must be at least / 18 years old to participate. / This re...,"For this study you will read and respond to questions about / approaches to public policy. /   /  This is a short survey, so we ask that you please pay attention /  and read all materials before responding.",Policy Proposal: Automatic Enrollment / Researchers have suggested that one useful approach to public / policy is to automatically enroll people into a program. The basic / idea is that most people tend...,"For example, some low-income individuals may wish to participate in / food stamp and supplemental assistance programs they are legally / eligible for, but normally fail to claim such benefits. Knowing...","For example, some high-income individuals may wish to take / advantage of capital gains tax breaks they are legally eligible / for, but normally fail to claim such benefits. Knowing this, / policymakers...","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How much do you <u>support</u> this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How much do you <u>oppose</u> this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>ethical</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>manipulative</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>unethical</u> is this approach to policy?","This approach of strategically selecting default options can be / used across a wide range of policies. Putting this particular / example aside, please tell us how you feel about the strategic use / of a...-How <u>coercive</u> is this approach to policy?",Timing-First Click,Timing-Last Click,Timing-Page Submit,Timing-Click Count,"Do you identify primarily as Republican, Democrat, or neither?","When it comes to social issues, I am ... /   ", -<em>Click here instead if you are completely unsure</em>, -<em>Click here instead if you haven't given it much thought</em>,"When it comes to economic issues, I am ... /   ", -<em>Click here instead if you are completely unsure</em>, -<em>Click here instead if you haven't given it much thought</em>,How do you feel about promoting food stamp programs for low-income / individuals?,How do you feel about promoting tax breaks for high-income / individuals?,Gender: /   ,Age: -years old,"Are you, or have you ever been, elected to a public / office?","Are you, or have you ever been, appointed to a public / office?",Are you a public employee?,Do you have authority over how or whether any government / policies affect the public?,"Finally, any questions, comments, or suggestions for this / study?",LocationLatitude,LocationLongitude,LocationAccuracy,
R_a9JBAgvEFDuxza5,Default Response Set,Anonymous,,,74.82.64.144,0,2014-05-30 13:53:40,2014-05-30 13:56:37,1,1,tax breaks,1,1,1,,1,1,5,1,5,5,5,,,,,2,,,1,,,1,,1,2,53,9,9,8,,,38,-97,-1,
R_5uWoKkZaHvIDjDf,Default Response Set,Anonymous,,,165.189.37.11,0,2014-05-30 13:57:06,2014-05-30 14:01:02,1,0,food stamps,1,1,1,1,,4,2,4,3,2,5,109.478,150.80499999999998,151.788,7,2,2,,,2,,,7,,2,44,9,9,8,8,,43.03889465332,-87.90650177002,-1,
R_41tenXjGvXsBunP,Default Response Set,Anonymous,,,66.249.101.130,0,2014-05-30 14:00:25,2014-05-30 14:05:27,1,1,tax breaks,1,1,1,,1,4,2,5,4,1,1,97.371,157,158.401,7,1,7,,,7,,,,6,1,48,9,9,8,8,Not at this time.,29.185104370117,-95.45539855957,-1,
R_41Ty3YNOBU1Mlxj,Default Response Set,Anonymous,,,207.195.128.91,0,2014-05-30 14:39:56,2014-05-30 14:42:35,1,1,tax breaks,1,1,1,,1,3,3,2,4,4,4,63.716,90.85199999999999,91.839,6,1,6,,,7,,,,4,1,30,9,8,8,8,,39.394195556641,-101.018699646,-1,
R_0v37btpOGhyRBs1,Default Response Set,Anonymous,,,66.87.128.150,0,2014-05-30 14:39:37,2014-05-30 14:43:44,1,0,food stamps,1,1,1,1,,1,5,2,4,5,2,57.055,95.329,97.131,7,2,4,,,5,,,2,,2,44,8,8,9,8,,37.553802490234,-77.460296630859,-1,
R_1WSiINi1l3kXEZ7,Default Response Set,Anonymous,,,172.10.76.179,0,2014-05-30 14:52:39,2014-05-30 14:58:12,1,1,tax breaks,1,1,1,,1,2,4,2,5,4,5,102.074,217.34500000000003,219.124,7,3,1,,,7,,,,6,1,48,8,8,8,8,,32.798797607422,-92.991897583008,-1,
R_bpZ2AdesFDefu3X,Default Response Set,Anonymous,,,75.69.34.28,0,2014-05-30 16:14:21,2014-05-30 16:17:49,1,0,food stamps,1,1,1,1,,3,2,3,3,3,3,68.637,88.51599999999999,92.316,6,2,4,,,4,,,6,,1,37,9,8,8,8,,44.532699584961,-73.057998657227,-1,
R_bkd3yxkrZM43jgx,Default Response Set,Anonymous,,,107.4.241.90,0,2014-05-30 16:38:25,2014-05-30 16:40:34,1,1,tax breaks,1,1,1,,1,4,2,3,3,3,3,11.91,43.299,46.596,7,3,4,,,5,,,,3,1,48,9,8,8,8,,37.343994140625,-79.206398010254,-1,
R_0xpot79J20bL77L,Default Response Set,Anonymous,,,100.40.46.249,0,2014-05-30 17:13:30,2014-05-30 17:22:35,1,0,food stamps,1,1,1,1,,3,3,3,4,3,4,59.338,99.76700000000001,105.791,6,2,3,,,3,,,7,,1,56,9,8,8,9,,41.42790222168,-71.536399841309,-1,
