id,prompt,support,oppose,manip,coerce,gender,age,party,partyother,wing,promptfeel
1,0,4,1,3,3,0,58,1,,4,1
2,0,3,3,5,5,0,41,1,,4,4
3,0,2,4,5,5,0,65,1,,5,1
4,1,3,2,2,3,0,NA,0,,2,6
5,1,4,2,3,3,1,66,1,,5,7
6,1,5,1,1,5,0,52,1,,4,7
7,0,4,3,4,4,0,64,0,,5,4
8,0,5,1,1,1,0,59,1,,4,7
9,1,3,3,2,2,0,40,0,,2,5
10,0,5,1,1,1,0,58,0,,3,6
11,1,2,4,4,4,0,56,2,moderate,4,7
12,0,2,4,5,5,1,66,0,,5,1
13,1,4,2,4,3,0,55,2,NP,4,6
14,0,5,1,3,3,0,45,2,independent,1,7
15,0,5,1,2,2,0,58,1,,4,6
16,1,3,3,4,5,1,54,NA,,4,7
17,0,2,4,4,4,0,69,0,,4,4
18,1,1,5,5,5,0,66,2,,3,3
19,1,4,NA,4,4,0,64,0,,5,7
20,0,4,2,4,4,0,NA,2,,4,6
21,1,4,2,3,4,0,44,1,,6,7
22,0,3,3,4,3,1,57,2,independent,6,1
23,0,5,1,1,1,1,52,1,,4,2
24,1,2,4,4,4,0,51,1,,5,4
25,1,5,1,1,1,1,44,1,,4,7
26,1,4,1,3,3,1,44,1,,5,7
27,0,5,2,2,2,1,38,1,,6,1
28,0,3,1,1,2,1,57,0,,2,6
29,1,4,2,3,3,1,58,1,,5,7
30,1,4,2,5,3,1,58,0,,2,4
31,0,4,2,1,1,1,54,1,,4,4
32,0,5,1,2,2,0,66,0,,3,2
33,1,2,4,4,4,0,44,1,,6,7
34,1,4,1,2,2,0,NA,2,,4,5
35,1,4,1,3,3,1,41,1,,7,7
36,0,3,2,4,4,1,NA,1,,5,2
37,1,4,1,3,3,1,56,0,,2,7
38,1,2,4,4,4,1,66,1,,6,7
39,1,4,1,2,2,0,66,1,,5,7
40,1,5,1,4,1,0,51,1,,3,7
41,0,3,3,2,2,0,50,1,,4,5
42,0,3,3,4,3,1,65,1,,3,4
43,1,5,2,3,3,0,59,2,,5,6
44,1,5,1,1,1,0,43,1,,5,7
45,1,4,1,1,4,0,56,2,non-participant,4,6
46,1,4,3,2,2,1,55,1,,5,6
47,0,4,2,3,3,1,NA,0,,4,6
48,1,5,1,2,3,0,62,2,,4,3
